[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 2 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 13
[Wheel] dx: 2 | Accumulator: 15
[Wheel] dx: 3 | Accumulator: 18
[Wheel] dx: 2 | Accumulator: 20
[Wheel] dx: 2 | Accumulator: 22
[Wheel] dx: 1 | Accumulator: 23
[Wheel] dx: 4 | Accumulator: 27
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 3 | Accumulator: 8
[Wheel] dx: 3 | Accumulator: 11
[Wheel] dx: 2 | Accumulator: 13
[Wheel] dx: 2 | Accumulator: 15
[Wheel] dx: 1 | Accumulator: 16
[Wheel] dx: 2 | Accumulator: 18
[Wheel] dx: 2 | Accumulator: 20
[Wheel] dx: 4 | Accumulator: 24
[Wheel] dx: 2 | Accumulator: 26
[Wheel] dx: 4 | Accumulator: 5
[Wheel] dx: 2 | Accumulator: 7
[Wheel] dx: 3 | Accumulator: 10
[Wheel] dx: 2 | Accumulator: 12
[Wheel] dx: 3 | Accumulator: 15
[Wheel] dx: 1 | Accumulator: 16
[Wheel] dx: 1 | Accumulator: 17
[Wheel] dx: 3 | Accumulator: 20
[Wheel] dx: 1 | Accumulator: 21
[Wheel] dx: 2 | Accumulator: 23
[Wheel] dx: 4 | Accumulator: 27
[Wheel] dx: 2 | Accumulator: 4
[Wheel] dx: 3 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 1 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 13
Double Tap Detected!
Switched Mode to: TIMELINE
[Wheel] dx: 1 | Accumulator: 1
[Telemetry] Touch Raw: 10560 | Baseline: 10457 | Delta: 103 (Threshold: 1100)
[Wheel] dx: 2 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 2 | Accumulator: 8
[Wheel] dx: 2 | Accumulator: 10
[Wheel] dx: 1 | Accumulator: 11
[Wheel] dx: 2 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 2 | Accumulator: 16
[Wheel] dx: 3 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 3 | Accumulator: 8
[Wheel] dx: 3 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 12
[Wheel] dx: 2 | Accumulator: 14
[Wheel] dx: 3 | Accumulator: 17
[Wheel] dx: 5 | Accumulator: 7
[Wheel] dx: 3 | Accumulator: 10
[Wheel] dx: 2 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 4 | Accumulator: 18
[Wheel] dx: 5 | Accumulator: 8
[Wheel] dx: 2 | Accumulator: 10
[Wheel] dx: 2 | Accumulator: 12
[Wheel] dx: 3 | Accumulator: 15
[Wheel] dx: 3 | Accumulator: 3
[Wheel] dx: -1 | Accumulator: 2
[Wheel] dx: 1 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 3 | Accumulator: 7
[Wheel] dx: 3 | Accumulator: 10
[Wheel] dx: 3 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 1 | Accumulator: 15
[Wheel] dx: 4 | Accumulator: 4
[Wheel] dx: 2 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 1 | Accumulator: 9
[Wheel] dx: 2 | Accumulator: 11
[Wheel] dx: 1 | Accumulator: 12
[Wheel] dx: 1 | Accumulator: 13
[Wheel] dx: 1 | Accumulator: 14
[Wheel] dx: 1 | Accumulator: 15
[Wheel] dx: 1 | Accumulator: 1
[Wheel] dx: 2 | Accumulator: 3
[Wheel] dx: 1 | Accumulator: 4
[Wheel] dx: 1 | Accumulator: 5
[Wheel] dx: 1 | Accumulator: 6
[Wheel] dx: 1 | Accumulator: 7
[Wheel] dx: 1 | Accumulator: 8
[Wheel] dx: 2 | Accumulator: 10
[Wheel] dx: 2 | Accumulator: 12
